-14	-99
-16	32
82	-34
60	-38
68	36
42	-63
31	-37
21	8
47	36
-44	53
-31	80
61	-66
28	-16
56	89
-52	69
68	25
67	27
-6	31
-24	-7
-39	-78
-91	68
-6	1
2	34
68	7
55	-93
-96	13
-41	54
-90	-20
-26	-48
89	-69
87	-68
-72	66
-18	-8
52	84
39	-26
26	-29
4	21
47	-45
5	-30
55	-78
-28	-80
-69	-39
-29	-95
56	66
62	-61
1	-74
19	12
97	-80
92	-35
19	-53
79	-26
57	-98
95	-86
67	76
-44	-86
-30	-44
-7	-98
24	66
56	46
7	44
-59	74
-53	71
-60	-78
62	75
98	89
11	-48
-16	8
53	-76
-96	-96
93	-76
-80	76
88	-18
28	-5
31	57
-78	-8
-55	76
51	98
6	99
-5	-19
67	45
76	-51
-3	62
88	56
82	78
91	94
-37	61
-74	52
95	4
2	-8
68	17
-55	64
24	96
33	-26
-70	55
-67	35
-98	54
-27	-18
1	92
-19	63
-80	54
0      0	


